Type,Category,comment,like,share
Status,2,5,130.0,29.0
Photo,2,58,1572.0,147.0
Photo,2,19,325.0,49.0
Status,2,1,152.0,33.0
Photo,3,3,249.0,27.0
Status,2,0,161.0,31.0
Photo,3,3,113.0,26.0
Status,2,10,412.0,72.0
Photo,2,36,523.0,63.0
Photo,2,33,107.0,22.0
Photo,3,2,155.0,47.0
Photo,2,6,172.0,21.0
Status,2,11,227.0,31.0
Status,2,7,216.0,39.0
Status,1,4,174.0,36.0
Photo,1,24,285.0,28.0
Photo,1,9,202.0,31.0
Photo,1,2,164.0,54.0
Photo,1,4,219.0,22.0
Photo,1,20,697.0,70.0
Video,1,17,449.0,84.0
Status,3,3,226.0,44.0
Photo,1,14,172.0,47.0
Photo,1,20,411.0,74.0
Photo,3,18,370.0,53.0
Photo,1,5,190.0,57.0
Link,1,2,130.0,31.0
Photo,3,3,270.0,38.0
Photo,1,13,331.0,77.0
Photo,3,9,301.0,32.0
Photo,2,2,124.0,22.0
Photo,3,5,153.0,27.0
Photo,2,1,115.0,26.0
Status,2,7,310.0,61.0
Photo,1,12,328.0,90.0
Photo,2,26,1505.0,95.0
Photo,1,42,955.0,139.0
Photo,3,9,181.0,32.0
Status,2,17,193.0,28.0
Status,2,4,217.0,50.0
Photo,1,1,431.0,26.0
Status,2,6,186.0,40.0
Photo,3,3,198.0,41.0
Status,2,0,129.0,25.0
Link,1,15,143.0,44.0
Status,3,2,227.0,36.0
Status,2,60,859.0,90.0
Photo,3,10,377.0,60.0
Status,2,3,148.0,28.0
Photo,1,24,302.0,41.0
Photo,2,2,166.0,32.0
Photo,2,47,358.0,49.0
Photo,1,7,161.0,25.0
Photo,2,13,319.0,55.0
Photo,2,16,117.0,30.0
Photo,3,1,115.0,21.0
Photo,2,30,187.0,35.0
Photo,3,6,363.0,40.0
Photo,2,6,244.0,32.0
Photo,3,22,290.0,98.0
Status,2,4,243.0,41.0
Photo,3,8,485.0,64.0
Photo,1,144,1622.0,208.0
Photo,3,3,188.0,26.0
Status,2,38,163.0,27.0
Photo,1,6,179.0,40.0
Photo,2,5,204.0,34.0
Status,2,2,165.0,22.0
Photo,3,29,1047.0,98.0
Photo,1,2,234.0,40.0
Photo,2,7,250.0,42.0
Photo,2,4,154.0,36.0
Status,2,20,150.0,29.0
Photo,3,1,226.0,44.0
Video,1,6,345.0,121.0
Photo,2,5,223.0,35.0
Photo,3,9,766.0,43.0
Photo,1,6,442.0,42.0
Photo,2,9,278.0,43.0
Photo,3,33,1155.0,102.0
Photo,2,2,139.0,25.0
Photo,1,4,859.0,68.0
Photo,3,2,264.0,21.0
Photo,3,4,435.0,31.0
Photo,3,16,227.0,28.0
Photo,3,6,179.0,27.0
Status,2,18,332.0,54.0
Photo,3,3,188.0,26.0
Photo,2,64,367.0,25.0
Photo,3,12,237.0,45.0
Photo,2,4,112.0,23.0
Photo,1,2,101.0,25.0
Photo,2,10,145.0,31.0
Photo,3,6,535.0,83.0
Photo,1,4,118.0,22.0
Status,2,9,484.0,79.0
Video,1,18,315.0,76.0
Photo,2,372,5172.0,790.0
Photo,1,4,154.0,30.0
Photo,1,6,194.0,34.0
Photo,3,6,226.0,42.0
Status,2,11,238.0,51.0
Photo,3,10,755.0,58.0
Photo,1,2,126.0,32.0
Photo,2,10,167.0,26.0
Photo,3,9,152.0,41.0
Photo,1,13,234.0,43.0
Photo,3,7,529.0,60.0
Photo,2,6,696.0,28.0
Photo,1,7,215.0,47.0
Photo,1,22,534.0,31.0
Photo,3,1,143.0,27.0
Video,1,23,204.0,44.0
Photo,1,7,148.0,39.0
Photo,1,103,469.0,33.0
Photo,2,5,141.0,26.0
Photo,2,11,231.0,43.0
Photo,1,9,197.0,28.0
Photo,3,4,330.0,29.0
Photo,3,2,208.0,28.0
Photo,2,12,148.0,28.0
Photo,3,4,154.0,26.0
Photo,3,9,186.0,23.0
Photo,3,2,180.0,44.0
Photo,2,18,168.0,49.0
Photo,3,20,1372.0,47.0
Photo,3,16,617.0,58.0
Photo,3,7,139.0,34.0
Photo,3,20,199.0,32.0
Photo,3,1,107.0,26.0
Photo,2,1,142.0,37.0
Photo,3,25,244.0,44.0
Photo,1,25,307.0,58.0
Photo,3,6,212.0,36.0
Photo,2,5,194.0,33.0
Photo,3,6,101.0,29.0
Photo,3,37,821.0,90.0
Photo,3,12,155.0,23.0
Photo,3,45,1639.0,122.0
Photo,2,3,155.0,32.0
Photo,3,4,166.0,33.0
Status,1,6,210.0,39.0
Photo,3,4,400.0,25.0
Photo,1,12,138.0,38.0
Photo,2,2,267.0,40.0
Photo,2,1,144.0,29.0
Photo,3,25,256.0,54.0
Status,2,1,129.0,36.0
Photo,3,1,179.0,30.0
Photo,1,9,194.0,33.0
Photo,3,1,124.0,32.0
Photo,3,4,304.0,47.0
Photo,3,12,138.0,39.0
Photo,2,2,163.0,35.0
Photo,1,45,407.0,76.0
Status,2,17,447.0,123.0
Photo,3,0,286.0,30.0
Photo,3,8,236.0,51.0
Photo,3,51,1998.0,128.0
Photo,3,11,235.0,34.0
Photo,3,5,140.0,38.0
Photo,2,6,766.0,109.0
Photo,3,3,114.0,21.0
Photo,3,9,164.0,52.0
Photo,1,9,329.0,38.0
Link,1,1,379.0,40.0
Photo,2,4,138.0,26.0
Photo,2,7,142.0,24.0
Photo,1,3,176.0,29.0
Photo,3,10,664.0,97.0
Photo,1,10,197.0,21.0
Photo,1,6,234.0,26.0
Photo,1,3,148.0,21.0
Photo,3,14,198.0,70.0
Photo,3,5,159.0,53.0
Photo,3,5,128.0,32.0
Photo,2,2,129.0,32.0
Photo,3,146,1546.0,181.0
Photo,3,19,214.0,78.0
Photo,3,8,134.0,34.0
Photo,1,9,268.0,36.0
Photo,3,4,128.0,38.0
Photo,2,1,200.0,37.0
Photo,1,5,264.0,36.0
Photo,3,10,193.0,61.0
Photo,3,7,160.0,57.0
Photo,3,4,136.0,42.0
Photo,1,7,579.0,47.0
Photo,2,56,360.0,99.0
Photo,3,3,187.0,36.0
Photo,3,21,277.0,80.0
Photo,3,1,105.0,46.0
Photo,3,17,185.0,55.0
Photo,3,10,125.0,41.0
